title,authors,journal,year,doi,url,pdf_url,abstract
Disruption of salt bridge interactions in the inter‐domain cleft of the tubulin‐like protein FtsZ of Escherichia coli makes cells sensitive to the cell division inhibitor,"SM Poddar, J Chakraborty, P Gayathri, R Srinivasan",Cytoskeleton,2025,10.1002/cm.21924,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:K3LRdlH-MEoC,,"FtsZ forms a ring-like assembly at the site of division in bacteria. It is the first protein involved in the formation of the divisome complex to split the cell into two halves, indicating its importance in bacterial cell division. FtsZ is an attractive target for developing new anti-microbial drugs to overcome the challenges of antibiotic resistance. The most potent inhibitor against FtsZ is PC190723, which is effective against all strains and species of Staphylococcus, including the methicillin- and multi-drug-resistant Staphylococcus aureus and strains of Bacillus. However, FtsZs from bacteria such as E. coli, Streptococcus, and Enterococcus were shown to be resistant to this inhibitor. In this study, we provide further evidence that the three pairwise bridging interactions, between residues S227 and G191, R307 and E198 and D299 and R202, between S7, S9, S10 β-strands and the H7 helix occlude the inhibitor from binding to E. coli FtsZ. We generated single, double and triple mutations to disrupt those bridges and tested the effectiveness of PC190723 directly on Z-ring assembly in vivo. Our results show that the disruption of S227-G191 and R307-E198 bridges render EcFtsZ highly sensitive to PC190723 for Z-ring assembly. Ectopic expression of the double mutants, FtsZ S227I R307V results in hypersensitivity of the susceptible E. coli imp4213 strain to PC190723. Our studies could further predict the effectiveness of PC190723 or its derivatives towards FtsZs of other bacterial genera."
Membrane binding and cholesterol sensing motif in Mycoplasma genitalium FtsZ: a novel mode of membrane recruitment for bacterial FtsZ,"S Dutta, S Poddar, J Chakraborty, R Srinivasan, P Gayathri",Biochemistry,2025,10.1021/acs.biochem.4c00543,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:08ZZubdj9fEC,,"Cell division in bacteria is initiated by constriction of the Z-ring comprising two essential proteins, FtsZ and FtsA. Though the essential function of the Z-ring in bacterial division has been established, the precise roles of FtsZ and FtsA in the constriction process remain elusive. Due to the minimal number of components, FtsZ/FtsA in cell wall-less bacteria is an ideal model system for obtaining mechanistic insights into Z-ring constriction in the absence of a cell wall synthesis machinery. In this study, we undertook a comparative analysis of FtsZ and FtsA protein sequences from 113 mycoplasma species and the corresponding sequences in cell-walled bacteria. We report a phylogenetically distinct group of 12 species that possess a putative membrane binding amphipathic helix at either the N- or C-terminal extensions of the globular FtsZ domain. Importantly, these FtsZs lack conservation of the conserved C-terminal peptide sequence. We experimentally prove that the proposed C-terminal amphipathic helix in Mycoplasma genitalium (M. genitalium) FtsZ exhibits membrane binding. Additionally, we identify a potential cholesterol recognition motif within the C-terminal amphipathic helix region of M. genitalium FtsZ. Our study catalogues the functional variations of membrane attachment by the FtsZ and FtsA system in cell wall-less mycoplasmas and provides a new perspective to dissect the role of FtsZ and FtsA in cell division."
Mechanistic Insights into Z-Ring Formation and Stability,"R Kumar, R Srinivasan, D Chaudhuri",PRX Life,2025,10.1103/PRXLife.3.013009,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:u9iWguZQMMsC,,"The tubulinlike protein FtsZ (filamenting temperature-sensitive mutant Z) is crucial for cytokinesis in bacteria and many archaea, forming a ring-shaped structure called the Z-ring at the site of cell division. Despite extensive and many archaea, forming a ring-shaped structure called the Z-ring at the site of  cell division. Despite extensive research, the self-assembly of Z-rings is not entirely understood. We propose a theoretical model based on FtsZ’s known filament structures, treating them as semiflexible polymers with specific mechanical properties and lateral intersegment attraction that can stabilize ring formations. Our molecular dynamics simulations reveal various morphological phases, including open helices, chains, rings, and globules, capturing experimental observations in the fission yeast model using FtsZ from different bacterial species or mutants of Escherichia coli. Using our theoretical model, we explore how treadmilling activity affects Z-ring stability and identify a spooling mechanism of ring formation. The active ring produces contractile, shear, and rotational stresses, which intensify as the Z-ring transitions to an open helix at high activity."
Distinct filament morphology and membrane tethering features of the dual FtsZ paralogs in Odinarchaeota,"J Kumari, A Uthaman, S Bose, A Kundu, V Sharma, S Dutta, A Dhar, et al.",The EMBO Journal,2025,10.1038/s44318-025-00529-7,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:fQNAKQ3IYiAC,,"The Asgard phylum has emerged as a model to study eukaryogenesis because of their close relatedness with the eukaryotes. In this study, we use FtsZ proteins from a member of the class Odinarchaeia as representatives to investigate the probable origin, evolution, and assembly of the FtsZ/tubulin protein superfamily in Asgard archaea. We performed a comparative analysis of the biochemical properties and cytoskeletal assembly of FtsZ1 and FtsZ2, the two FtsZ isoforms in the Odinarchaeota metagenome. Our electron microscopy analysis reveals that OdinFtsZ1 assembles into curved single protofilaments, while OdinFtsZ2 forms stacked spiral ring-like structures. Upon sequence analysis, we identified an N-terminal amphipathic helix in OdinFtsZ1, which mediates direct membrane tethering. In contrast, OdinFtsZ2 is recruited to the membrane by the anchor OdinSepF via OdinFtsZ2’s C-terminal tail. Overall, we report the presence of two distant evolutionary para- logs of FtsZ in Odinarchaeota, with distinct filament assemblies and differing modes of membrane targeting. Our findings highlight the diversity of FtsZ proteins in the archaeal phylum Asgardarch- aeota, providing valuable insights into the evolution and differ- entiation of tubulin-family proteins"
Distinct filament morphology and membrane tethering features of the dual FtsZs in Odinarchaeota,"J Kumari, A Uthaman, A Kundu, A Dhar, V Sharma, S Bose, S Dutta, et al.","bioRxiv,",2025,10.1101/2025.02.03.636245,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:l7t_Zn2s7bgC,,"The deep-branching Asgard archaea have emerged as a model to study Eukaryogenesis as they harbor homologs of many of the major eukaryotic protein families. In this study, we use Candidatus Odinarchaeota FtsZs as representatives to understand the probable origin, evolution, and assembly of the FtsZ-Tubulin protein superfamily in Asgard archaea. We have performed a comparative analysis of the biochemical properties and cytoskeletal assembly of FtsZ1 and FtsZ2, the two FtsZ isoforms in the Odinarchaeota metagenome. Our electron microscopy analysis reveals that OdinFtsZ1 assembles into curved single protofilaments, while OdinFtsZ2 forms stacked spiral ring-like structures. Upon sequence analysis, we identified an N-terminal amphipathic helix in OdinFtsZ1, which mediates direct membrane tethering. In contrast, OdinFtsZ2 is recruited to the membrane by the membrane-anchor OdinSepF via OdinFtsZ2’s C-terminal tail. Overall, we report the presence of two distant evolutionary paralogs of FtsZ in Odinarchaeota, with distinct filament assemblies and differing modes of membrane targeting mechanisms, namely direct vs SepF-mediated membrane binding. Our findings highlight the diversity of FtsZ proteins in the transitional archaeal phylum Odinarchaeota, providing valuable insights into the evolution and differentiation of tubulin family proteins."
Mutational analysis of the F plasmid partitioning protein ParA reveals residues required for oligomerization and plasmid maintenance,"N Mitra, D Mishra, M Mudaliyar, R Yadav, S Zinjurte, IA Puthethu, et al.",Nucleic Acids Research,2025,10.1093/nar/gkaf537,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:B3FOqHPlNUQC,,"Mobile genetic elements such as plasmids play a crucial role in the emergence of antimicrobial resistance. Hence, plasmid maintenance proteins such as ParA of the Walker A-type ATPases/ParA superfamily are potential targets for novel antibiotics. Plasmid partitioning by ParA relies on ATP-dependent dimerization and formation of chemophoretic gradients of ParA-ATP on bacterial nucleoids. Though polymerization of ParA has been reported in many instances, the need for polymerization in plasmid maintenance remains unclear. In this study, we provide insights into the polymerization of ParA and the effect of polymerization on plasmid maintenance. We report two mutations, Q351H and W362E, in ParA from the F plasmid (ParAF ) that form cytoplasmic filaments independent of the ParBSF partitioning complex. Both variants fail to partition plasmids, do not bind non-specific DNA, and act as super-repressors to suppress transcription from the ParAF promoter. Further, we show that the polymerization of ParAF requires an ATP-dependent conformational switch. We identify two residues, R320 in helix 12 and E375 in helix 14 at the interface of the predicted ParAF filament structure, whose mutations abolish filament assembly of ParAF W362E and affect plasmid partitioning. Our results thus suggest a role for the C-terminal helix of ParAF in plasmid maintenance and assembly into higher order structures."
Dynamics of interdomain rotation facilitates FtsZ filament assembly,"J Chakraborty, S Poddar, S Dutta, V Bahulekar, S Harne, R Srinivasan, et al.",Journal of Biological Chemistry,2024,10.1016/j.jbc.2024.107336,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:XiSMed-E-HIC,,"FtsZ, the tubulin homolog essential for bacterial cell division, assembles as the Z-ring at the division site, and directs peptidoglycan synthesis by treadmilling. It is unclear how FtsZ achieves kinetic polarity that drives treadmilling. To obtain insights into fundamental features of FtsZ assembly dynamics independent of peptidoglycan synthesis, we carried out structural and biochemical characterization of FtsZ from the cell wall-less bacteria, Spiroplasma melliferum (SmFtsZ). Interestingly the structures of SmFtsZ, bound to GDP and GMPPNP respectively, were captured as domain swapped dimers. SmFtsZ was found to be a slower GTPase with a higher critical concentration (CC) compared to Escherichia coli FtsZ (EcFtsZ). In FtsZs, a conformational switch from R-state (close) to T-state (open) favors polymerization. We identified that Phe224, located at the interdomain cleft of SmFtsZ, is crucial for R- to T-state transition. SmFtsZF224M exhibited higher GTPase activity and lower CC, whereas the corresponding EcFtsZM225F resulted in cell division defects in E. coli. Our results demonstrate that relative rotation of the domains is a rate-limiting step of polymerization. Our structural analysis suggests that the rotation is plausibly triggered upon addition of a GTP-bound monomer to the filament through interaction of the preformed N-terminal domain (NTD). Hence, addition of monomers to the NTD-exposed end of filament is slower in comparison to the C-terminal domain (CTD) end, thus explaining kinetic polarity. In summary, the study highlights the importance of interdomain interactions and conformational changes in regulating FtsZ assembly dynamics."
Author Spotlight: Exploring Cytoskeletal Dynamics to Unveil Novel Antibiotics Through Innovative Cell-Based Assays,"SM Poddar, S Roy, AK Sharma, R Srinivasan","JoVE (Journal of Visualized Experiments), e66657",2024,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:J-pR_7NvFogC,,
Fission Yeast as a Platform for Antibacterial Drug Screens Targeting Bacterial Cytoskeleton Proteins,"SM Poddar, S Roy, AK Sharma, R Srinivasan","Journal of Visualized Experiments (JoVE), e66657",2024,10.3791/66657,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:UxriW0iASnsC,,"Bacterial cytoskeletal proteins such as FtsZ and MreB perform essential functions such as cell division and cell shape maintenance. Further, FtsZ and MreB have emerged as important targets for novel antimicrobial discovery. Several assays have been developed to identify compounds targeting nucleotide binding and polymerization of these cytoskeletal proteins, primarily focused on FtsZ. Moreover, many of the assays are either laborious or cost-intensive, and ascertaining whether these proteins are the cellular target of the drug often requires multiple methods. Finally, the toxicity of the drugs to eukaryotic cells also poses a problem. Here, we describe a single-step cell-based assay to discover novel molecules targeting bacterial cytoskeleton and minimize hits that might be potentially toxic to eukaryotic cells. Fission yeast is amenable to high-throughput screens based on microscopy, and a visual screen can easily identify any molecule that alters the polymerization of FtsZ or MreB. Our assay utilizes the standard 96-well plate and relies on the ability of the bacterial cytoskeletal proteins to polymerize in a eukaryotic cell such as the fission yeast. While the protocols described here are for fission yeast and utilize FtsZ from Staphylococcus aureus and MreB from Escherichia coli, they are easily adaptable to other bacterial cytoskeletal proteins that readily assemble into polymers in any eukaryotic expression hosts. The method described here should help facilitate further discovery of novel antimicrobials targeting bacterial cytoskeletal proteins."
Mutational analysis of the F plasmid partitioning protein ParA reveals novel residues required for oligomerisation and plasmid maintenance,"N Mitra, D Mishra, IA Puthethu, R Srinivasan","bioRxiv,",2024,10.1101/2024.03.17.585406,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:uWQEDVKXjbEC,,"Mobile genetic elements such as plasmids play a crucial role in the emergence of antimicrobial resistance. Hence, plasmid maintenance proteins like ParA of the Walker A type cytoskeletal ATPases/ ParA superfamily are potential targets for novel antibiotics. Plasmid partitioning by ParA relies upon ATP-dependent dimerisation and formation of chemophoretic gradients of ParA-ATP on bacterial nucleoids. Though polymerisation of ParA has been reported in many instances, the need for polymerisation in plasmid maintenance remains unclear. In this study, we provide novel insights into the polymerisation of ParA and the effect of polymerisation on plasmid maintenance. We first characterise two mutations, Q351H and W362E, in ParA from F plasmid (ParAF) that form cytoplasmic filaments independent of the ParBSF partitioning complex. Both mutants fail to partition plasmids, do not bind non-specific DNA and act as super-repressors to suppress transcription from the ParA promoter. Further, we show that the polymerisation of ParAF requires the conformational switch to the ParA-ATP* state. We identify two mutations, R320A in the C-terminal helix-14 and E375A helix-16 of ParAF, that abolish filament assembly and affect plasmid partitioning. Our results thus suggest a role for higher-order structures or polymerisation of ParA in plasmid maintenance."
